"Nomor","Keterangan","Nama Barang","Total Per Tahun","Label"
"34","Merbau Oven 450 x 3 x 25","Merbau Oven 450 x 3 x 25","4","KURANG LARIS"
"35","Merbau Oven 450 x 4 x 25","Merbau Oven 450 x 4 x 25","2","KURANG LARIS"
"36","Merbau Oven 450 x 6 x 15","Merbau Oven 450 x 6 x 15","2","KURANG LARIS"
"37","Merbau Oven 500 x 3 x 20","Merbau Oven 500 x 3 x 20","15","KURANG LARIS"
"38","Merbau Oven 500 x 3 x 25","Merbau Oven 500 x 3 x 25","8","KURANG LARIS"
"39","Merbau Oven 500 x 3 x 30","Merbau Oven 500 x 3 x 30","39","KURANG LARIS"
"40","Merbau Oven 500 x 3 x 35","Merbau Oven 500 x 3 x 35","12","KURANG LARIS"
"41","Merbau Oven 500 x 4 x 20","Merbau Oven 500 x 4 x 20","31","KURANG LARIS"
"42","Merbau Oven 500 x 4 x 25","Merbau Oven 500 x 4 x 25","19","KURANG LARIS"
"43","Merbau Oven 500 x 4 x 30","Merbau Oven 500 x 4 x 30","10","KURANG LARIS"
"44","Merbau Oven 500 x 4 x 35","Merbau Oven 500 x 4 x 35","7","KURANG LARIS"
"45","Merbau Oven 500 x 4 x 40","Merbau Oven 500 x 4 x 40","1","KURANG LARIS"
"46","Merbau Oven 500 x 5 x 15","Merbau Oven 500 x 5 x 15","108","CUKUP LARIS"
"47","Merbau Oven 500 x 5 x 20","Merbau Oven 500 x 5 x 20","26","KURANG LARIS"
"48","Merbau Oven 500 x 5 x 25","Merbau Oven 500 x 5 x 25","22","KURANG LARIS"
"49","Merbau Oven 500 x 5 x 30","Merbau Oven 500 x 5 x 30","37","KURANG LARIS"
"50","Merbau Oven 500 x 5 x 35","Merbau Oven 500 x 5 x 35","16","KURANG LARIS"
"51","Merbau Oven 500 x 6 x 12","Merbau Oven 500 x 6 x 12","12","KURANG LARIS"
"52","Merbau Oven 500 x 6 x 15","Merbau Oven 500 x 6 x 15","63","KURANG LARIS"
"53","Merbau Oven 500 x 6 x 17","Merbau Oven 500 x 6 x 17","43","KURANG LARIS"
"54","Merbau Oven 500 x 8 x 15","Merbau Oven 500 x 8 x 15","3","KURANG LARIS"
"55","Merbau Oven 400 x 4 x 15","Merbau Oven 400 x 4 x 15","16","KURANG LARIS"
"56","Merbau Oven 250 x 4 x 20","Merbau Oven 250 x 4 x 20","65","KURANG LARIS"
"57","-Merbau Oven 250 x 4 x 30","-Merbau Oven 250 x 4 x 30","28","KURANG LARIS"
"58","Merbau Oven 300 x 4 x 20","Merbau Oven 300 x 4 x 20","13","KURANG LARIS"
"59","Merbau Oven 260 x 4 x 20","Merbau Oven 260 x 4 x 20","12","KURANG LARIS"
"60","Merbau Oven 300 x 5 x 30","Merbau Oven 300 x 5 x 30","3","KURANG LARIS"
"61","Merbau Oven 300 x 5 x 25","Merbau Oven 300 x 5 x 25","2","KURANG LARIS"
"62","Merbau Oven 240 x 4 x 20","Merbau Oven 240 x 4 x 20","1","KURANG LARIS"
"63","Merbau Oven 250 x 6 x 17","Merbau Oven 250 x 6 x 17","70","KURANG LARIS"
"64","Merbau Oven 500 x 5 x 40","Merbau Oven 500 x 5 x 40","1","KURANG LARIS"
"65","Merbau Oven 200 x 4 x 30","Merbau Oven 200 x 4 x 30","1","KURANG LARIS"
"66","Merbau Basah 100 x 6 x 15","Merbau Basah 100 x 6 x 15","105","CUKUP LARIS"
"67","Merbau Basah 110 x 6 x 15","Merbau Basah 110 x 6 x 15","9","KURANG LARIS"
"68","Merbau Basah 120 x 6 x 15","Merbau Basah 120 x 6 x 15","29","KURANG LARIS"
"69","Merbau Basah 130 x 6 x 15","Merbau Basah 130 x 6 x 15","24","KURANG LARIS"
"70","Merbau Basah 140 x 6 x 15","Merbau Basah 140 x 6 x 15","41","KURANG LARIS"
"71","Merbau Basah 150 x 6 x 15","Merbau Basah 150 x 6 x 15","73","KURANG LARIS"
"72","Merbau Basah 160 x 6 x 15","Merbau Basah 160 x 6 x 15","13","KURANG LARIS"
"73","Merbau Basah 170 x 6 x 15","Merbau Basah 170 x 6 x 15","23","KURANG LARIS"
"74","Merbau Basah 180 x 6 x 15","Merbau Basah 180 x 6 x 15","54","KURANG LARIS"
"75","Merbau Basah 190 x 6 x 15","Merbau Basah 190 x 6 x 15","5","KURANG LARIS"
"76","Merbau Basah 200 x 6 x 15","Merbau Basah 200 x 6 x 15","75","KURANG LARIS"
"77","Merbau Basah 210 x 6 x 15","Merbau Basah 210 x 6 x 15","34","KURANG LARIS"
"78","Merbau Basah 220 x 6 x 15","Merbau Basah 220 x 6 x 15","48","KURANG LARIS"
"79","Merbau Basah 230 x 6 x 15","Merbau Basah 230 x 6 x 15","66","KURANG LARIS"
"80","Merbau Basah 240 x 6 x 15","Merbau Basah 240 x 6 x 15","50","KURANG LARIS"
"81","Merbau Basah 250 x 6 x 15","Merbau Basah 250 x 6 x 15","88","KURANG LARIS"
"82","Merbau Basah 260 x 6 x 15","Merbau Basah 260 x 6 x 15","55","KURANG LARIS"
"83","Merbau Basah 270 x 6 x 15","Merbau Basah 270 x 6 x 15","27","KURANG LARIS"
"84","Merbau Basah 280 x 6 x 15","Merbau Basah 280 x 6 x 15","28","KURANG LARIS"
"85","Merbau Basah 290 x 6 x 15","Merbau Basah 290 x 6 x 15","10","KURANG LARIS"
"86","Merbau Basah 300 x 5 x 15","Merbau Basah 300 x 5 x 15","1","KURANG LARIS"
"87","Merbau Basah 300 x 6 x 15","Merbau Basah 300 x 6 x 15","37","KURANG LARIS"
"88","Merbau Basah 350 x 5 x 15","Merbau Basah 350 x 5 x 15","4","KURANG LARIS"
"89","Merbau Basah 350 x 6 x 15","Merbau Basah 350 x 6 x 15","3","KURANG LARIS"
"90","Merbau Basah 400 x 12 x 12","Merbau Basah 400 x 12 x 12","12","KURANG LARIS"
"91","Merbau Basah 400 x 12 x 40","Merbau Basah 400 x 12 x 40","1","KURANG LARIS"
"92","Merbau Basah 400 x 15 x 15","Merbau Basah 400 x 15 x 15","5","KURANG LARIS"
"93","Merbau Basah 400 x 15 x 40","Merbau Basah 400 x 15 x 40","1","KURANG LARIS"
"94","Merbau Basah 400 x 2 x 20","Merbau Basah 400 x 2 x 20","83","KURANG LARIS"
"95","Merbau Basah 400 x 2 x 25","Merbau Basah 400 x 2 x 25","21","KURANG LARIS"
"96","Merbau Basah 400 x 2 x 30","Merbau Basah 400 x 2 x 30","35","KURANG LARIS"
"97","Merbau Basah 400 x 3 x 25","Merbau Basah 400 x 3 x 25","3","KURANG LARIS"
"98","Merbau Basah 400 x 4 x 25","Merbau Basah 400 x 4 x 25","7","KURANG LARIS"
"99","Merbau Basah 400 x 4 x 6","Merbau Basah 400 x 4 x 6","4","KURANG LARIS"
"100","Merbau Basah 400 x 5 x 10","Merbau Basah 400 x 5 x 10","25","KURANG LARIS"
"101","Merbau Basah 400 x 5 x 12","Merbau Basah 400 x 5 x 12","3","KURANG LARIS"
"102","Merbau Basah 400 x 5 x 7","Merbau Basah 400 x 5 x 7","18","KURANG LARIS"
"103","Merbau Basah 450 x 2 x 20","Merbau Basah 450 x 2 x 20","36","KURANG LARIS"
"104","Merbau Basah 450 x 6 x 15","Merbau Basah 450 x 6 x 15","9","KURANG LARIS"
"105","Merbau Basah 500 x 2 x 20","Merbau Basah 500 x 2 x 20","10","KURANG LARIS"
"106","Merbau Basah 500 x 20 x 20","Merbau Basah 500 x 20 x 20","1","KURANG LARIS"
"107","Merbau Basah 500 x 4 x 20","Merbau Basah 500 x 4 x 20","1","KURANG LARIS"
"108","Merbau Basah 500 x 4 x 30","Merbau Basah 500 x 4 x 30","4","KURANG LARIS"
"109","Merbau Basah 500 x 4 x 70","Merbau Basah 500 x 4 x 70","1","KURANG LARIS"
"110","Merbau Basah 500 x 5 x 20","Merbau Basah 500 x 5 x 20","2","KURANG LARIS"
"111","Merbau Basah 500 x 8 x 15","Merbau Basah 500 x 8 x 15","7","KURANG LARIS"
"112","Merbau Basah 90 x 6 x 15","Merbau Basah 90 x 6 x 15","55","KURANG LARIS"
"113","Meranti Oven  400 x 4 x 25","Meranti Oven  400 x 4 x 25","62","KURANG LARIS"
"114","Meranti Oven  400 x 6 x 12 ","Meranti Oven  400 x 6 x 12 ","73","KURANG LARIS"
"115","Meranti Oven  400 x 3 x 25","Meranti Oven  400 x 3 x 25","48","KURANG LARIS"
"116","Meranti Oven  400 x 6 x 15","Meranti Oven  400 x 6 x 15","158","CUKUP LARIS"
"117","Meranti Oven 400 x 4 x 30","Meranti Oven 400 x 4 x 30","8","KURANG LARIS"
"118","SB Basah 400 x 10 x 10","SB Basah 400 x 10 x 10","2","KURANG LARIS"
"119","SB Basah 400 x 12 x 12","SB Basah 400 x 12 x 12","5","KURANG LARIS"
"120","SB Basah 400 x 15 x 15","SB Basah 400 x 15 x 15","12","KURANG LARIS"
"121","SB Basah 400 x 15 x 40","SB Basah 400 x 15 x 40","4","KURANG LARIS"
"122","SB Basah 400 x 3 x 4","SB Basah 400 x 3 x 4","154","CUKUP LARIS"
"123","SB Basah 400 x 4 x 6","SB Basah 400 x 4 x 6","26","KURANG LARIS"
"124","SB Basah 400 x 5 x 7","SB Basah 400 x 5 x 7","131","CUKUP LARIS"
"125","SB Basah 400 x 8 x 15","SB Basah 400 x 8 x 15","2","KURANG LARIS"
"126","SO Merah 400 x 3 x 20","SO Merah 400 x 3 x 20","347","SANGAT LARIS"
"127","SO Merah 400 x 3 x 25","SO Merah 400 x 3 x 25","13","KURANG LARIS"
"128","SO Merah 400 x 3 x 30","SO Merah 400 x 3 x 30","5","KURANG LARIS"
"129","SO Merah 400 x 6 x 15","SO Merah 400 x 6 x 15","34","KURANG LARIS"
"130","Samarinda Oven 250 x 4 x 25","Samarinda Oven 250 x 4 x 25","51","KURANG LARIS"
"131","Samarinda Oven 250 x 6 x 15","Samarinda Oven 250 x 6 x 15","189","CUKUP LARIS"
"132","Samarinda Oven 300 x 4 x 25","Samarinda Oven 300 x 4 x 25","76","KURANG LARIS"
"133","Samarinda Oven 300 x 6 x 15","Samarinda Oven 300 x 6 x 15","165","CUKUP LARIS"
"134","Samarinda Oven 400 x 3 x 20","Samarinda Oven 400 x 3 x 20","26","KURANG LARIS"
"135","Samarinda Oven 400 x 3 x 25","Samarinda Oven 400 x 3 x 25","220","SANGAT LARIS"
"136","Samarinda Oven 400 x 3 x 30","Samarinda Oven 400 x 3 x 30","423","SANGAT LARIS"
"137","Samarinda Oven 400 x 4 x 20","Samarinda Oven 400 x 4 x 20","292","SANGAT LARIS"
"138","Samarinda Oven 400 x 4 x 25","Samarinda Oven 400 x 4 x 25","452","SANGAT LARIS"
"139","Samarinda Oven 400 x 4 x 30","Samarinda Oven 400 x 4 x 30","193","CUKUP LARIS"
"140","Samarinda Oven 400 x 5 x 15","Samarinda Oven 400 x 5 x 15","265","SANGAT LARIS"
"141","Samarinda Oven 400 x 5 x 20","Samarinda Oven 400 x 5 x 20","11","KURANG LARIS"
"142","Samarinda Oven 400 x 5 x 25","Samarinda Oven 400 x 5 x 25","61","KURANG LARIS"
"143","Samarinda Oven 400 x 5 x 30","Samarinda Oven 400 x 5 x 30","31","KURANG LARIS"
"144","Samarinda Oven 400 x 6 x 12","Samarinda Oven 400 x 6 x 12","314","SANGAT LARIS"
"145","Samarinda Oven 400 x 6 x 15","Samarinda Oven 400 x 6 x 15","526","SANGAT LARIS"
"146","Samarinda Oven 400 x 6 x 17","Samarinda Oven 400 x 6 x 17","143","CUKUP LARIS"
"147","Samarinda Oven 400 x 8 x 12","Samarinda Oven 400 x 8 x 12","50","KURANG LARIS"
"148","Samarinda Oven 400 x 8 x 15","Samarinda Oven 400 x 8 x 15","10","KURANG LARIS"
"149","Samarinda Oven 450 x 4 x 25","Samarinda Oven 450 x 4 x 25","3","KURANG LARIS"
"150","Samarinda Oven 450 x 6 x 15","Samarinda Oven 450 x 6 x 15","89","KURANG LARIS"
"151","Samarinda Oven 500 x 3 x 25","Samarinda Oven 500 x 3 x 25","1","KURANG LARIS"
"152","Samarinda Oven 500 x 3 x 30","Samarinda Oven 500 x 3 x 30","5","KURANG LARIS"
"153","Samarinda Oven 500 x 4 x 20","Samarinda Oven 500 x 4 x 20","292","SANGAT LARIS"
"154","Samarinda Oven 500 x 4 x 25","Samarinda Oven 500 x 4 x 25","257","SANGAT LARIS"
"155","Samarinda Oven 500 x 4 x 30","Samarinda Oven 500 x 4 x 30","98","KURANG LARIS"
"156","Samarinda Oven 500 x 5 x 15","Samarinda Oven 500 x 5 x 15","192","CUKUP LARIS"
"157","Samarinda Oven 500 x 5 x 20","Samarinda Oven 500 x 5 x 20","16","KURANG LARIS"
"158","Samarinda Oven 500 x 5 x 25","Samarinda Oven 500 x 5 x 25","59","KURANG LARIS"
"159","Samarinda Oven 500 x 5 x 30","Samarinda Oven 500 x 5 x 30","11","KURANG LARIS"
"160","Samarinda Oven 500 x 6 x 12","Samarinda Oven 500 x 6 x 12","37","KURANG LARIS"
"161","Samarinda Oven 500 x 6 x 15","Samarinda Oven 500 x 6 x 15","91","KURANG LARIS"
"162","Samarinda Oven 500 x 6 x 17","Samarinda Oven 500 x 6 x 17","55","KURANG LARIS"
"163","Samarinda Oven 500 x 8 x 15","Samarinda Oven 500 x 8 x 15","12","KURANG LARIS"
"164","Samarinda Oven 450 x 4 x 20","Samarinda Oven 450 x 4 x 20","7","KURANG LARIS"
"165","Samarinda Oven 450 x 4 x 30","Samarinda Oven 450 x 4 x 30","7","KURANG LARIS"
"166","Samarinda Oven 450 x 6 x 17 ","Samarinda Oven 450 x 6 x 17 ","7","KURANG LARIS"
"167","Samarinda Oven 450 x 5 x 25","Samarinda Oven 450 x 5 x 25","1","KURANG LARIS"
"168","Samarinda Oven 250 x 4 x 30","Samarinda Oven 250 x 4 x 30","4","KURANG LARIS"
